language_id,language_name
ga,
hu,
lv,
lo,
ms,
de,
ku,
xh,
cs,
sq,
ro,
bn,
hi,
qac,
fi,
ca,
kk,
zh,
jsl,
cmn,
mr,
nl,
ml,
la,
tr,
el,
et,
uz,
gu,
wo,
sl,
roa,
he,
pt,
my,
sr,
rn,
bs,
kn,
fr,
cr,
lt,
ur,
vi,
uk,
yue,
cy,
am,
id,
az,
fa,
ta,
qbn,
sv,
no,
iu,
tl,
tg,
st,
ky,
qbp,
jv,
ja,
su,
ar,
qal,
haw,
zu,
en,
hr,
fro,
th,
ru,
pl,
sd,
prs,
eka,
ka,
ps,
tk,
rm,
gd,
da,
eu,
is,
lb,
sk,
it,
myv,
pa,
te,
qbo,
br,
es,
bg,
mk,
ko,
mn,
mi,
tn,
be,
gsw,
hy,
yi,
ne,
af,
gl,
